Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BeforeSale,Chrome 87.0.4280.88,,,2020-12-30 12:23:03,2020-12-30 12:24:16,1m - 12.755s,PASSED
,,,,,,,
Test Cases/Login,Chrome 87.0.4280.88,,,2020-12-30 12:23:04,2020-12-30 12:23:20,15.641s,PASSED
com.application.Auth.loginIntoApplication(),Chrome 87.0.4280.88,,,2020-12-30 12:23:05,2020-12-30 12:23:15,10.320s,PASSED
,,,,,,,
Test Cases/Route,Chrome 87.0.4280.88,,,2020-12-30 12:23:20,2020-12-30 12:23:33,13.293s,PASSED
com.application.appmanager.get_next_route_number(),Chrome 87.0.4280.88,,,2020-12-30 12:23:21,2020-12-30 12:23:21,0.471s,PASSED
driver = getWebDriver(),Chrome 87.0.4280.88,,,2020-12-30 12:23:21,2020-12-30 12:23:21,0.010s,PASSED
"click(findTestObject(""Route/Dashboard/span_Route Planning""))",Chrome 87.0.4280.88,,,2020-12-30 12:23:21,2020-12-30 12:23:21,0.150s,PASSED
"click(findTestObject(""Route/Dashboard/a_Add Route""))",Chrome 87.0.4280.88,,,2020-12-30 12:23:21,2020-12-30 12:23:23,1.365s,PASSED
"setText(findTestObject(""Route/Add Route/Route Number_field""), currentRouteNumber.toString())",Chrome 87.0.4280.88,,,2020-12-30 12:23:23,2020-12-30 12:23:23,0.193s,PASSED
"click(findTestObject(""Route/Add Route/clickoutside""))",Chrome 87.0.4280.88,,,2020-12-30 12:23:23,2020-12-30 12:23:23,0.144s,PASSED
"click(findTestObject(""Route/Add Route/sectionDropdown""))",Chrome 87.0.4280.88,,,2020-12-30 12:23:23,2020-12-30 12:23:23,0.219s,PASSED
"setText(findTestObject(""Route/Add Route/input_select2""), ""D"")",Chrome 87.0.4280.88,,,2020-12-30 12:23:23,2020-12-30 12:23:23,0.243s,PASSED
"sendKeys(findTestObject(""Route/Add Route/input_select2""), Keys.chord(ARROW_DOWN))",Chrome 87.0.4280.88,,,2020-12-30 12:23:23,2020-12-30 12:23:23,0.116s,PASSED
"sendKeys(findTestObject(""Route/Add Route/input_select2""), Keys.chord(ENTER))",Chrome 87.0.4280.88,,,2020-12-30 12:23:23,2020-12-30 12:23:24,0.116s,PASSED
"click(findTestObject(""Route/Add Route/button_Create Route""))",Chrome 87.0.4280.88,,,2020-12-30 12:23:24,2020-12-30 12:23:24,0.129s,PASSED
"waitForElementPresent(findTestObject(""Route/Add Route/routeConfirmation""), 5)",Chrome 87.0.4280.88,,,2020-12-30 12:23:24,2020-12-30 12:23:24,0.646s,PASSED
com.application.appmanager.store_used_route(),Chrome 87.0.4280.88,,,2020-12-30 12:23:24,2020-12-30 12:23:24,0.018s,PASSED
"click(findTestObject(""Route/Add Route/a_Route Planning""))",Chrome 87.0.4280.88,,,2020-12-30 12:23:24,2020-12-30 12:23:24,0.148s,PASSED
