Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Prism_Master Configuration,,,,2021-01-19 02:10:16,2021-01-19 02:10:18,2.202s,PASSED
,,,,,,,
"Test Cases/1001_Prism Route, SR, Retailer Creation and Mapping",,,,2021-01-19 02:10:18,2021-01-19 02:10:18,0.349s,PASSED
com.database.sqlserver.connectDB(),,,,2021-01-19 02:10:18,2021-01-19 02:10:18,0.025s,PASSED
sql = select master_components.comp_name from master_components LEFT JOIN testcase_component_mappings ON master_components.comp_id = testcase_component_mappings.comp_id WHERE master_components.status='Active' AND testcase_component_mappings.status='Active' AND testcase_component_mappings.tc_id = $tc_id,,,,2021-01-19 02:10:18,2021-01-19 02:10:18,0.010s,PASSED
recordset = com.database.sqlserver.executeQuery(sql),,,,2021-01-19 02:10:18,2021-01-19 02:10:18,0.059s,PASSED
while (recordset.next()),,,,2021-01-19 02:10:18,2021-01-19 02:10:18,0.016s,PASSED
com.database.sqlserver.closeDatabaseConnection(),,,,2021-01-19 02:10:18,2021-01-19 02:10:18,0.001s,PASSED
Start tear down : tearDownIfPassed,,,,2021-01-19 02:10:18,2021-01-19 02:10:18,0.034s,PASSED
