Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Prism_Master Configuration,Chrome 87.0.4280.141,,,2021-01-18 19:59:02,2021-01-18 19:59:17,15.379s,ERROR
,,,,,,,
"Test Cases/1_Prism Route, SR, Retailer Creation and Mapping",Chrome 87.0.4280.141,,,2021-01-18 19:59:03,2021-01-18 19:59:17,14.577s,ERROR
com.database.sqlserver.connectDB(),Chrome 87.0.4280.141,,,2021-01-18 19:59:03,2021-01-18 19:59:04,0.628s,PASSED
sql = select master_components.comp_name from master_components LEFT JOIN testcase_component_mappings ON master_components.comp_id = testcase_component_mappings.comp_id WHERE master_components.status='Active' AND testcase_component_mappings.status='Active' AND testcase_component_mappings.tc_id = $tc_id,Chrome 87.0.4280.141,,,2021-01-18 19:59:04,2021-01-18 19:59:04,0.007s,PASSED
recordset = com.database.sqlserver.executeQuery(sql),Chrome 87.0.4280.141,,,2021-01-18 19:59:04,2021-01-18 19:59:04,0.072s,PASSED
while (recordset.next()),Chrome 87.0.4280.141,,,2021-01-18 19:59:04,2021-01-18 19:59:17,13.568s,ERROR
