Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Create SR/label_Salary""))",Chrome 87.0.4280.88,,,2020-12-28 19:38:19,2020-12-28 19:38:19,0.122s,PASSED
"scrollToPosition(9999999, 9999999)",Chrome 87.0.4280.88,,,2020-12-28 19:38:19,2020-12-28 19:38:19,0.027s,PASSED
"click(findTestObject(""Object Repository/Create SR/button_Create Employee""))",Chrome 87.0.4280.88,,,2020-12-28 19:38:19,2020-12-28 19:38:19,0.188s,PASSED
com.application.appmanager.store_created_sr(),Chrome 87.0.4280.88,,,2020-12-28 19:38:19,2020-12-28 19:38:19,0.047s,PASSED
"click(findTestObject(""Object Repository/Create SR/a_HR""))",Chrome 87.0.4280.88,,,2020-12-28 19:38:19,2020-12-28 19:38:20,0.145s,PASSED
"click(findTestObject(""Object Repository/Create SR/a_Browse Employee""))",Chrome 87.0.4280.88,,,2020-12-28 19:38:20,2020-12-28 19:38:21,1.483s,PASSED
,,,,,,,
Test Cases/Assign route to sr,Chrome 87.0.4280.88,,,2020-12-28 19:38:26,2020-12-28 19:38:44,17.819s,PASSED
driver = getWebDriver(),Chrome 87.0.4280.88,,,2020-12-28 19:38:26,2020-12-28 19:38:26,0.001s,PASSED
com.application.appmanager.get_current_route_number(),Chrome 87.0.4280.88,,,2020-12-28 19:38:26,2020-12-28 19:38:28,1.423s,PASSED
com.application.appmanager.get_current_sr_name(),Chrome 87.0.4280.88,,,2020-12-28 19:38:28,2020-12-28 19:38:28,0.058s,PASSED
"click(findTestObject(""Object Repository/Assign route to sr/span_Route Planning""))",Chrome 87.0.4280.88,,,2020-12-28 19:38:28,2020-12-28 19:38:28,0.220s,PASSED
"click(findTestObject(""Object Repository/Assign route to sr/a_Browse Route""))",Chrome 87.0.4280.88,,,2020-12-28 19:38:28,2020-12-28 19:38:30,2.342s,PASSED
delay(5),Chrome 87.0.4280.88,,,2020-12-28 19:38:30,2020-12-28 19:38:36,5.330s,PASSED
"scrollToPosition(9999999, 9999999)",Chrome 87.0.4280.88,,,2020-12-28 19:38:36,2020-12-28 19:38:36,0.017s,PASSED
"click(findTestObject(""Object Repository/Assign route to sr/a_Last""))",Chrome 87.0.4280.88,,,2020-12-28 19:38:36,2020-12-28 19:38:36,0.227s,PASSED
"scrollToPosition(0, 0)",Chrome 87.0.4280.88,,,2020-12-28 19:38:36,2020-12-28 19:38:36,0.023s,PASSED
"Table = driver.findElement(By.xpath(""//table[@id=""exampleDTC""]/tbody""))",Chrome 87.0.4280.88,,,2020-12-28 19:38:36,2020-12-28 19:38:36,0.038s,PASSED
"rows_table = Table.findElements(By.tagName(""tr""))",Chrome 87.0.4280.88,,,2020-12-28 19:38:36,2020-12-28 19:38:36,0.040s,PASSED
rows_count = rows_table.size(),Chrome 87.0.4280.88,,,2020-12-28 19:38:36,2020-12-28 19:38:36,0.001s,PASSED
"for ([row = 0, row < rows_count, (row++)])",Chrome 87.0.4280.88,,,2020-12-28 19:38:36,2020-12-28 19:38:39,2.920s,PASSED
,,,,,,,
Test Cases/Create Retailer,Chrome 87.0.4280.88,,,2020-12-28 19:38:44,2020-12-28 19:38:57,12.652s,PASSED
com.application.appmanager.get_current_route_number(),Chrome 87.0.4280.88,,,2020-12-28 19:38:44,2020-12-28 19:38:44,0.157s,PASSED
"click(findTestObject(""Object Repository/Create Retailer/a_Retailer""))",Chrome 87.0.4280.88,,,2020-12-28 19:38:44,2020-12-28 19:38:44,0.148s,PASSED
"click(findTestObject(""Object Repository/Create Retailer/a_Add Retailer""))",Chrome 87.0.4280.88,,,2020-12-28 19:38:44,2020-12-28 19:38:46,1.185s,PASSED
