Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AfterSell,Chrome 87.0.4280.88,,,2020-12-30 12:41:16,2020-12-30 12:45:42,4m - 25.478s,FAILED
,,,,,,,
Test Cases/Login,Chrome 87.0.4280.88,,,2020-12-30 12:41:17,2020-12-30 12:41:33,15.675s,PASSED
com.application.Auth.loginIntoApplication(),Chrome 87.0.4280.88,,,2020-12-30 12:41:17,2020-12-30 12:41:28,10.414s,PASSED
,,,,,,,
Test Cases/Report SSS,Chrome 87.0.4280.88,,,2020-12-30 12:41:33,2020-12-30 12:42:51,1m - 17.890s,PASSED
driver = getWebDriver(),Chrome 87.0.4280.88,,,2020-12-30 12:41:33,2020-12-30 12:41:33,0.007s,PASSED
com.application.appmanager.get_current_route_number(),Chrome 87.0.4280.88,,,2020-12-30 12:41:33,2020-12-30 12:41:33,0.402s,PASSED
"click(findTestObject(""Object Repository/Report SSS/span_Reports""))",Chrome 87.0.4280.88,,,2020-12-30 12:41:33,2020-12-30 12:41:33,0.122s,PASSED
"click(findTestObject(""Object Repository/Report SSS/a_SSS""))",Chrome 87.0.4280.88,,,2020-12-30 12:41:33,2020-12-30 12:41:35,1.862s,PASSED
"click(findTestObject(""Object Repository/Report SSS/button_Get Report""))",Chrome 87.0.4280.88,,,2020-12-30 12:41:35,2020-12-30 12:42:40,1m - 5.160s,PASSED
delay(5),Chrome 87.0.4280.88,,,2020-12-30 12:42:40,2020-12-30 12:42:46,5.023s,PASSED
"Table = driver.findElement(By.xpath(""//table[@class=""DT table table-striped table-content table-condensed boo-table table-hover bg-blue-light dataTable DTFC_Cloned""]/tbody""))",Chrome 87.0.4280.88,,,2020-12-30 12:42:46,2020-12-30 12:42:46,0.030s,PASSED
"rows_table = Table.findElements(By.tagName(""tr""))",Chrome 87.0.4280.88,,,2020-12-30 12:42:46,2020-12-30 12:42:46,0.026s,PASSED
rows_count = rows_table.size(),Chrome 87.0.4280.88,,,2020-12-30 12:42:46,2020-12-30 12:42:46,0.001s,PASSED
"for ([row = 0, row < rows_count, (row++)])",Chrome 87.0.4280.88,,,2020-12-30 12:42:46,2020-12-30 12:42:46,0.044s,PASSED
,,,,,,,
Test Cases/Dashboard,Chrome 87.0.4280.88,,,2020-12-30 12:42:51,2020-12-30 12:45:06,2m - 15.513s,FAILED
com.application.appmanager.go_to_dashboard(),Chrome 87.0.4280.88,,,2020-12-30 12:42:51,2020-12-30 12:45:01,2m - 10.275s,FAILED
,,,,,,,
Test Cases/Logout,Chrome 87.0.4280.88,,,2020-12-30 12:45:06,2020-12-30 12:45:42,35.428s,PASSED
com.application.Auth.logOutFromApplication(),Chrome 87.0.4280.88,,,2020-12-30 12:45:06,2020-12-30 12:45:42,35.259s,PASSED
