Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Prism_Master Configuration,Chrome 87.0.4280.141,,,2021-01-18 19:51:51,2021-01-18 19:52:13,21.893s,ERROR
,,,,,,,
"Test Cases/1_Prism Route, SR, Retailer Creation and Mapping",Chrome 87.0.4280.141,,,2021-01-18 19:51:52,2021-01-18 19:52:13,21.068s,ERROR
com.database.sqlserver.connectDB(),Chrome 87.0.4280.141,,,2021-01-18 19:51:52,2021-01-18 19:51:53,0.681s,PASSED
sql = select master_components.comp_name from master_components LEFT JOIN testcase_component_mappings ON master_components.comp_id = testcase_component_mappings.comp_id WHERE master_components.status='Active' AND testcase_component_mappings.status='Active' AND testcase_component_mappings.tc_id = $tc_id,Chrome 87.0.4280.141,,,2021-01-18 19:51:53,2021-01-18 19:51:53,0.010s,PASSED
recordset = com.database.sqlserver.executeQuery(sql),Chrome 87.0.4280.141,,,2021-01-18 19:51:53,2021-01-18 19:51:53,0.062s,PASSED
while (recordset.next()),Chrome 87.0.4280.141,,,2021-01-18 19:51:53,2021-01-18 19:52:13,19.967s,ERROR
