Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AfterSell,Chrome 87.0.4280.88,,,2020-12-28 19:47:12,2020-12-28 19:48:20,1m - 8.303s,PASSED
,,,,,,,
Test Cases/Login,Chrome 87.0.4280.88,,,2020-12-28 19:47:13,2020-12-28 19:47:34,20.281s,PASSED
com.application.Auth.loginIntoApplication(),Chrome 87.0.4280.88,,,2020-12-28 19:47:14,2020-12-28 19:47:28,14.795s,PASSED
,,,,,,,
Test Cases/Report SSS,Chrome 87.0.4280.88,,,2020-12-28 19:47:34,2020-12-28 19:47:52,18.564s,PASSED
driver = getWebDriver(),Chrome 87.0.4280.88,,,2020-12-28 19:47:34,2020-12-28 19:47:34,0.011s,PASSED
com.application.appmanager.get_current_route_number(),Chrome 87.0.4280.88,,,2020-12-28 19:47:34,2020-12-28 19:47:35,0.603s,PASSED
"click(findTestObject(""Object Repository/Report SSS/span_Reports""))",Chrome 87.0.4280.88,,,2020-12-28 19:47:35,2020-12-28 19:47:35,0.185s,PASSED
"click(findTestObject(""Object Repository/Report SSS/a_SSS""))",Chrome 87.0.4280.88,,,2020-12-28 19:47:35,2020-12-28 19:47:37,2.474s,PASSED
"click(findTestObject(""Object Repository/Report SSS/button_Get Report""))",Chrome 87.0.4280.88,,,2020-12-28 19:47:37,2020-12-28 19:47:39,2.239s,PASSED
delay(5),Chrome 87.0.4280.88,,,2020-12-28 19:47:39,2020-12-28 19:47:44,5.035s,PASSED
"Table = driver.findElement(By.xpath(""//table[@class=""DT table table-striped table-content table-condensed boo-table table-hover bg-blue-light dataTable DTFC_Cloned""]/tbody""))",Chrome 87.0.4280.88,,,2020-12-28 19:47:44,2020-12-28 19:47:45,0.049s,PASSED
"rows_table = Table.findElements(By.tagName(""tr""))",Chrome 87.0.4280.88,,,2020-12-28 19:47:45,2020-12-28 19:47:45,0.042s,PASSED
rows_count = rows_table.size(),Chrome 87.0.4280.88,,,2020-12-28 19:47:45,2020-12-28 19:47:45,0.001s,PASSED
"for ([row = 0, row < rows_count, (row++)])",Chrome 87.0.4280.88,,,2020-12-28 19:47:45,2020-12-28 19:47:47,2.505s,PASSED
,,,,,,,
Test Cases/Dashboard,Chrome 87.0.4280.88,,,2020-12-28 19:47:52,2020-12-28 19:48:17,24.389s,PASSED
com.application.Auth.loginIntoApplication(),Chrome 87.0.4280.88,,,2020-12-28 19:47:52,2020-12-28 19:48:06,13.656s,PASSED
com.application.appmanager.go_to_dashboard(),Chrome 87.0.4280.88,,,2020-12-28 19:48:06,2020-12-28 19:48:12,5.484s,PASSED
,,,,,,,
Test Cases/Logout,Chrome 87.0.4280.88,,,2020-12-28 19:48:17,2020-12-28 19:48:20,3.609s,PASSED
com.application.Auth.logOutFromApplication(),Chrome 87.0.4280.88,,,2020-12-28 19:48:17,2020-12-28 19:48:20,3.394s,PASSED
